42.0 APEX_CODE,FINEST;APEX_PROFILING,ERROR;CALLOUT,ERROR;DB,INFO;SYSTEM,FINEST;VALIDATION,ERROR;VISUALFORCE,ERROR;WAVE,INFO;WORKFLOW,ERROR
05:24:46.0 (70146)|USER_INFO|[EXTERNAL]|0050a00000JQ9gC|formbuilder@stratus360.com|Eastern Standard Time|GMT-04:00
05:24:46.0 (105807)|EXECUTION_STARTED
05:24:46.0 (109065)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
05:24:46.0 (718474)|HEAP_ALLOCATE|[72]|Bytes:3
05:24:46.0 (751981)|HEAP_ALLOCATE|[77]|Bytes:152
05:24:46.0 (767100)|HEAP_ALLOCATE|[342]|Bytes:408
05:24:46.0 (780827)|HEAP_ALLOCATE|[355]|Bytes:408
05:24:46.0 (792557)|HEAP_ALLOCATE|[467]|Bytes:48
05:24:46.0 (815617)|HEAP_ALLOCATE|[139]|Bytes:6
05:24:46.0 (834445)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
05:24:46.0 (842764)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
05:24:46.0 (1629218)|CODE_UNIT_STARTED|[EXTERNAL]|01p0a000005i8EX|S360_Signature_Ctrl.getSignature
05:24:46.0 (1710995)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
05:24:46.0 (1718445)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
05:24:46.0 (1729550)|METHOD_ENTRY|[1]|01p0a000005i8EX|S360_Signature_Ctrl.S360_Signature_Ctrl()
05:24:46.0 (1735829)|STATEMENT_EXECUTE|[1]
05:24:46.0 (1742192)|STATEMENT_EXECUTE|[1]
05:24:46.0 (1747487)|METHOD_EXIT|[1]|S360_Signature_Ctrl
05:24:46.0 (1752547)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
05:24:46.0 (1768565)|SYSTEM_MODE_ENTER|false
05:24:46.0 (1778107)|VARIABLE_SCOPE_BEGIN|[105]|parentId|String|false|false
05:24:46.0 (1800948)|VARIABLE_ASSIGNMENT|[105]|parentId|"a010a00000TTWuPAAX"
05:24:46.0 (1811462)|STATEMENT_EXECUTE|[105]
05:24:46.0 (1813469)|STATEMENT_EXECUTE|[106]
05:24:46.0 (1817207)|HEAP_ALLOCATE|[106]|Bytes:101
05:24:46.0 (1837504)|HEAP_ALLOCATE|[106]|Bytes:4
05:24:46.0 (1851454)|HEAP_ALLOCATE|[106]|Bytes:7
05:24:46.0 (1899362)|HEAP_ALLOCATE|[50]|Bytes:5
05:24:46.0 (1921027)|HEAP_ALLOCATE|[56]|Bytes:5
05:24:46.0 (1928286)|HEAP_ALLOCATE|[64]|Bytes:7
05:24:46.0 (2761576)|SOQL_EXECUTE_BEGIN|[106]|Aggregations:0|SELECT Id, ContentDocumentId, LinkedEntityId FROM ContentDocumentLink WHERE LinkedEntityId = :tmpVar1
05:24:46.0 (10514164)|SOQL_EXECUTE_END|[106]|Rows:1
05:24:46.0 (10556980)|HEAP_ALLOCATE|[106]|Bytes:8
05:24:46.0 (10580952)|HEAP_ALLOCATE|[106]|Bytes:104
05:24:46.0 (10741176)|HEAP_ALLOCATE|[106]|Bytes:8
05:24:46.0 (10766892)|VARIABLE_SCOPE_BEGIN|[106]|lcdl|List<ContentDocumentLink>|true|false
05:24:46.0 (10813272)|VARIABLE_ASSIGNMENT|[106]|lcdl|[{"Id":"06A0a000003bCCPEA2","ContentDocumentId":"0690a000002yG0IAAU","LinkedEntityId":"a010a00000TTWuPAAX"}]|0x6b6c5be3
05:24:46.0 (10892747)|SYSTEM_METHOD_ENTRY|[107]|List<ContentDocumentLink>.size()
05:24:46.0 (10946847)|SYSTEM_METHOD_EXIT|[107]|List<ContentDocumentLink>.size()
05:24:46.0 (10964632)|STATEMENT_EXECUTE|[107]
05:24:46.0 (10967732)|STATEMENT_EXECUTE|[108]
05:24:46.0 (10974808)|HEAP_ALLOCATE|[108]|Bytes:128
05:24:46.0 (10997649)|HEAP_ALLOCATE|[108]|Bytes:4
05:24:46.0 (11023091)|HEAP_ALLOCATE|[108]|Bytes:16
05:24:46.0 (12138438)|SOQL_EXECUTE_BEGIN|[108]|Aggregations:0|SELECT Id, title, pathOnClient, versionData FROM ContentVersion WHERE (ContentDocumentId = :tmpVar1 AND IsLatest = TRUE) LIMIT 1
05:24:46.0 (69090519)|SOQL_EXECUTE_END|[108]|Rows:1
05:24:46.0 (69131801)|HEAP_ALLOCATE|[108]|Bytes:8
05:24:46.0 (69150640)|HEAP_ALLOCATE|[108]|Bytes:10924
05:24:46.0 (69311974)|HEAP_ALLOCATE|[108]|Bytes:8
05:24:46.0 (69345170)|VARIABLE_SCOPE_BEGIN|[108]|cv|List<ContentVersion>|true|false
05:24:46.0 (69576491)|VARIABLE_ASSIGNMENT|[108]|cv|"common.apex.runtime.impl.SObjectList@8ea31b71"|0x6ffb60e6
05:24:46.0 (69656765)|SYSTEM_METHOD_ENTRY|[109]|List<ContentVersion>.size()
05:24:46.0 (69716253)|SYSTEM_METHOD_EXIT|[109]|List<ContentVersion>.size()
05:24:46.0 (69733527)|STATEMENT_EXECUTE|[109]
05:24:46.0 (69736039)|STATEMENT_EXECUTE|[110]
05:24:46.0 (69749312)|HEAP_ALLOCATE|[110]|Bytes:28
05:24:46.0 (69876940)|HEAP_ALLOCATE|[110]|Bytes:15
05:24:46.0 (69916986)|SYSTEM_METHOD_ENTRY|[1]|EncodingUtil.EncodingUtil()
05:24:46.0 (69923994)|STATEMENT_EXECUTE|[1]
05:24:46.0 (69939117)|SYSTEM_METHOD_EXIT|[1]|EncodingUtil
05:24:46.0 (69963378)|METHOD_ENTRY|[110]||System.EncodingUtil.base64Encode(Blob)
05:24:46.0 (70322822)|METHOD_EXIT|[110]||System.EncodingUtil.base64Encode(Blob)
05:24:46.0 (70342139)|SYSTEM_MODE_EXIT|false
05:24:46.0 (70383876)|CODE_UNIT_FINISHED|S360_Signature_Ctrl.getSignature
05:24:46.0 (70774097)|CODE_UNIT_FINISHED|Aura
05:24:46.0 (71953322)|EXECUTION_FINISHED
