42.0 APEX_CODE,FINEST;APEX_PROFILING,ERROR;CALLOUT,ERROR;DB,INFO;SYSTEM,FINEST;VALIDATION,ERROR;VISUALFORCE,ERROR;WAVE,INFO;WORKFLOW,ERROR
05:03:07.0 (440936)|USER_INFO|[EXTERNAL]|0050a00000JQ9gC|formbuilder@stratus360.com|Eastern Standard Time|GMT-04:00
05:03:07.0 (488926)|EXECUTION_STARTED
05:03:07.0 (495783)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
05:03:07.0 (3681510)|HEAP_ALLOCATE|[72]|Bytes:3
05:03:07.0 (3729103)|HEAP_ALLOCATE|[77]|Bytes:152
05:03:07.0 (3754573)|HEAP_ALLOCATE|[342]|Bytes:408
05:03:07.0 (3782012)|HEAP_ALLOCATE|[355]|Bytes:408
05:03:07.0 (3806936)|HEAP_ALLOCATE|[467]|Bytes:48
05:03:07.0 (3845990)|HEAP_ALLOCATE|[139]|Bytes:6
05:03:07.0 (3881003)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8200
05:03:07.0 (3894190)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8200
05:03:07.0 (5239481)|CODE_UNIT_STARTED|[EXTERNAL]|01p0a000005RYwD|S360_Form_Builder_Controller.saveUpsertRecord
05:03:07.0 (5354602)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
05:03:07.0 (5368363)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
05:03:07.0 (5374993)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:30
05:03:07.0 (5391048)|METHOD_ENTRY|[1]|01p0a000005RYwD|S360_Form_Builder_Controller.S360_Form_Builder_Controller()
05:03:07.0 (5401545)|STATEMENT_EXECUTE|[1]
05:03:07.0 (5409879)|STATEMENT_EXECUTE|[1]
05:03:07.0 (5412548)|STATEMENT_EXECUTE|[255]
05:03:07.0 (5420498)|METHOD_EXIT|[1]|S360_Form_Builder_Controller
05:03:07.0 (5498153)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:32
05:03:07.0 (5530487)|HEAP_ALLOCATE|[50]|Bytes:5
05:03:07.0 (5561923)|HEAP_ALLOCATE|[56]|Bytes:5
05:03:07.0 (5586060)|HEAP_ALLOCATE|[64]|Bytes:7
05:03:07.0 (5610165)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
05:03:07.0 (5617374)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8200
05:03:07.0 (5640077)|SYSTEM_MODE_ENTER|false
05:03:07.0 (5656919)|VARIABLE_SCOPE_BEGIN|[150]|data|SObject|true|false
05:03:07.0 (5743604)|VARIABLE_ASSIGNMENT|[150]|data|{"S360_FA__Last_Name__ (1 more) ...":"test1","S360_FA__Date_Time__ (1 more) ...":"2018-03-15T16:00:00.000Z","S360_FA__User__c":"0050a00000JQ9gKAAT","S360_FA__phone__c":"1234567890","S360_FA__Hobby__c":"test1","S360_FA__First_Name_ (2 more) ...":"test1","S360_FA__email__c":"lab@mail.com"}|0x7d02118f
05:03:07.0 (5768277)|VARIABLE_SCOPE_BEGIN|[150]|relatedData|Map<String,List<ANY>>|true|false
05:03:07.0 (5783919)|VARIABLE_ASSIGNMENT|[150]|relatedData|null|
05:03:07.0 (5792836)|VARIABLE_SCOPE_BEGIN|[150]|isSignatureEnabled|Boolean|false|false
05:03:07.0 (5807123)|VARIABLE_ASSIGNMENT|[150]|isSignatureEnabled|true
05:03:07.0 (5815602)|VARIABLE_SCOPE_BEGIN|[150]|signatureData|String|false|false
05:03:07.0 (5831121)|VARIABLE_ASSIGNMENT|[150]|signatureData|"iVBORw0KGgoAAAANSUhE (8180 more) ..."
05:03:07.0 (5845186)|STATEMENT_EXECUTE|[150]
05:03:07.0 (5847989)|STATEMENT_EXECUTE|[151]
05:03:07.0 (5880318)|SYSTEM_METHOD_ENTRY|[151]|System.debug(ANY)
05:03:07.0 (6012644)|USER_DEBUG|[151]|DEBUG|S360_FA__Dummy_Object__c:{S360_FA__Last_Name__c=test1, S360_FA__Date_Time__c=2018-03-15 16:00:00, S360_FA__User__c=0050a00000JQ9gKAAT, S360_FA__phone__c=1234567890, S360_FA__Hobby__c=test1, S360_FA__First_Name__c=test1, S360_FA__email__c=lab@mail.com}
05:03:07.0 (6035141)|SYSTEM_METHOD_EXIT|[151]|System.debug(ANY)
05:03:07.0 (6043541)|STATEMENT_EXECUTE|[152]
05:03:07.0 (6055498)|SYSTEM_METHOD_ENTRY|[152]|System.debug(ANY)
05:03:07.0 (6071759)|USER_DEBUG|[152]|DEBUG|null
05:03:07.0 (6082119)|SYSTEM_METHOD_EXIT|[152]|System.debug(ANY)
05:03:07.0 (6087942)|STATEMENT_EXECUTE|[153]
05:03:07.0 (6097650)|SYSTEM_METHOD_ENTRY|[153]|System.debug(ANY)
05:03:07.0 (6110300)|USER_DEBUG|[153]|DEBUG|true
05:03:07.0 (6118809)|SYSTEM_METHOD_EXIT|[153]|System.debug(ANY)
05:03:07.0 (6124769)|STATEMENT_EXECUTE|[154]
05:03:07.0 (6134189)|SYSTEM_METHOD_ENTRY|[154]|System.debug(ANY)
