42.0 APEX_CODE,FINEST;APEX_PROFILING,ERROR;CALLOUT,ERROR;DB,INFO;SYSTEM,FINEST;VALIDATION,ERROR;VISUALFORCE,ERROR;WAVE,INFO;WORKFLOW,ERROR
05:25:32.0 (68570)|USER_INFO|[EXTERNAL]|0050a00000JQ9gC|formbuilder@stratus360.com|Eastern Standard Time|GMT-04:00
05:25:32.0 (101958)|EXECUTION_STARTED
05:25:32.0 (106036)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
05:25:32.0 (2415656)|HEAP_ALLOCATE|[72]|Bytes:3
05:25:32.0 (2464179)|HEAP_ALLOCATE|[77]|Bytes:152
05:25:32.0 (2480237)|HEAP_ALLOCATE|[342]|Bytes:408
05:25:32.0 (2492436)|HEAP_ALLOCATE|[355]|Bytes:408
05:25:32.0 (2503389)|HEAP_ALLOCATE|[467]|Bytes:48
05:25:32.0 (2527556)|HEAP_ALLOCATE|[139]|Bytes:6
05:25:32.0 (2546404)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14596
05:25:32.0 (2555509)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14596
05:25:32.0 (4086374)|CODE_UNIT_STARTED|[EXTERNAL]|01p0a000005RYwD|S360_Form_Builder_Controller.saveUpsertRecord
05:25:32.0 (4175806)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
05:25:32.0 (4183626)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
05:25:32.0 (4187251)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:30
05:25:32.0 (4198109)|METHOD_ENTRY|[1]|01p0a000005RYwD|S360_Form_Builder_Controller.S360_Form_Builder_Controller()
05:25:32.0 (4204981)|STATEMENT_EXECUTE|[1]
05:25:32.0 (4212472)|STATEMENT_EXECUTE|[1]
05:25:32.0 (4213942)|STATEMENT_EXECUTE|[255]
05:25:32.0 (4220166)|METHOD_EXIT|[1]|S360_Form_Builder_Controller
05:25:32.0 (4285225)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:40
05:25:32.0 (4313061)|HEAP_ALLOCATE|[50]|Bytes:5
05:25:32.0 (4339494)|HEAP_ALLOCATE|[56]|Bytes:5
05:25:32.0 (4347468)|HEAP_ALLOCATE|[64]|Bytes:7
05:25:32.0 (4360629)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
05:25:32.0 (4364404)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14596
05:25:32.0 (4380437)|SYSTEM_MODE_ENTER|false
05:25:32.0 (4392116)|VARIABLE_SCOPE_BEGIN|[150]|data|SObject|true|false
05:25:32.0 (4453309)|VARIABLE_ASSIGNMENT|[150]|data|{"S360_FA__Last_Name__ (1 more) ...":"test1","S360_FA__Date_Time__ (1 more) ...":"2018-03-15T16:00:00.000Z","S360_FA__User__c":"0050a00000JQ9gKAAT","S360_FA__phone__c":"1234567896","S360_FA__User__r":{"Id":"0050a00000JQ9gKAAT","Name":"Chatter Expert"},"S360_FA__Hobby__c":"test1","Id":"a010a00000TTWuPAAX","S360_FA__First_Name_ (2 more) ...":"test1","S360_FA__email__c":"lab@gmail.com"}|0x6d063724
05:25:32.0 (4470003)|VARIABLE_SCOPE_BEGIN|[150]|relatedData|Map<String,List<ANY>>|true|false
05:25:32.0 (4479085)|VARIABLE_ASSIGNMENT|[150]|relatedData|null|
05:25:32.0 (4483615)|VARIABLE_SCOPE_BEGIN|[150]|isSignatureEnabled|Boolean|false|false
05:25:32.0 (4491763)|VARIABLE_ASSIGNMENT|[150]|isSignatureEnabled|true
05:25:32.0 (4496286)|VARIABLE_SCOPE_BEGIN|[150]|signatureData|String|false|false
05:25:32.0 (4508819)|VARIABLE_ASSIGNMENT|[150]|signatureData|"iVBORw0KGgoAAAANSUhE (14576 more) ..."
05:25:32.0 (4519761)|STATEMENT_EXECUTE|[150]
05:25:32.0 (4521540)|STATEMENT_EXECUTE|[151]
05:25:32.0 (4550279)|SYSTEM_METHOD_ENTRY|[151]|System.debug(ANY)
05:25:32.0 (4651171)|USER_DEBUG|[151]|DEBUG|S360_FA__Dummy_Object__c:{S360_FA__Last_Name__c=test1, S360_FA__Date_Time__c=2018-03-15 16:00:00, S360_FA__User__c=0050a00000JQ9gKAAT, S360_FA__phone__c=1234567896, S360_FA__Hobby__c=test1, Id=a010a00000TTWuPAAX, S360_FA__First_Name__c=test1, S360_FA__email__c=lab@gmail.com}
05:25:32.0 (4666110)|SYSTEM_METHOD_EXIT|[151]|System.debug(ANY)
05:25:32.0 (4672038)|STATEMENT_EXECUTE|[152]
05:25:32.0 (4680097)|SYSTEM_METHOD_ENTRY|[152]|System.debug(ANY)
05:25:32.0 (4690037)|USER_DEBUG|[152]|DEBUG|null
05:25:32.0 (4695302)|SYSTEM_METHOD_EXIT|[152]|System.debug(ANY)
05:25:32.0 (4698347)|STATEMENT_EXECUTE|[153]
05:25:32.0 (4703574)|SYSTEM_METHOD_ENTRY|[153]|System.debug(ANY)
05:25:32.0 (4709718)|USER_DEBUG|[153]|DEBUG|true
05:25:32.0 (4714378)|SYSTEM_METHOD_EXIT|[153]|System.debug(ANY)
05:25:32.0 (4717233)|STATEMENT_EXECUTE|[154]
05:25:32.0 (4721695)|SYSTEM_METHOD_ENTRY|[154]|System.debug(ANY)
