42.0 APEX_CODE,FINEST;APEX_PROFILING,ERROR;CALLOUT,ERROR;DB,INFO;SYSTEM,FINEST;VALIDATION,ERROR;VISUALFORCE,ERROR;WAVE,INFO;WORKFLOW,ERROR
05:24:35.0 (74771)|USER_INFO|[EXTERNAL]|0050a00000JQ9gC|formbuilder@stratus360.com|Eastern Standard Time|GMT-04:00
05:24:35.0 (115302)|EXECUTION_STARTED
05:24:35.0 (120170)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
05:24:35.0 (2333048)|HEAP_ALLOCATE|[72]|Bytes:3
05:24:35.0 (2363431)|HEAP_ALLOCATE|[77]|Bytes:152
05:24:35.0 (2376373)|HEAP_ALLOCATE|[342]|Bytes:408
05:24:35.0 (2391060)|HEAP_ALLOCATE|[355]|Bytes:408
05:24:35.0 (2404623)|HEAP_ALLOCATE|[467]|Bytes:48
05:24:35.0 (2425860)|HEAP_ALLOCATE|[139]|Bytes:6
05:24:35.0 (2444402)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14284
05:24:35.0 (2454462)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14284
05:24:35.0 (3736041)|CODE_UNIT_STARTED|[EXTERNAL]|01p0a000005RYwD|S360_Form_Builder_Controller.saveUpsertRecord
05:24:35.0 (3799452)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
05:24:35.0 (3806703)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
05:24:35.0 (3810858)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:30
05:24:35.0 (3820566)|METHOD_ENTRY|[1]|01p0a000005RYwD|S360_Form_Builder_Controller.S360_Form_Builder_Controller()
05:24:35.0 (3826693)|STATEMENT_EXECUTE|[1]
05:24:35.0 (3832367)|STATEMENT_EXECUTE|[1]
05:24:35.0 (3833755)|STATEMENT_EXECUTE|[255]
05:24:35.0 (3839114)|METHOD_EXIT|[1]|S360_Form_Builder_Controller
05:24:35.0 (3896295)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:40
05:24:35.0 (3917169)|HEAP_ALLOCATE|[50]|Bytes:5
05:24:35.0 (3936409)|HEAP_ALLOCATE|[56]|Bytes:5
05:24:35.0 (3944892)|HEAP_ALLOCATE|[64]|Bytes:7
05:24:35.0 (3955828)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
05:24:35.0 (3959802)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14284
05:24:35.0 (3975571)|SYSTEM_MODE_ENTER|false
05:24:35.0 (3983877)|VARIABLE_SCOPE_BEGIN|[150]|data|SObject|true|false
05:24:35.0 (4041516)|VARIABLE_ASSIGNMENT|[150]|data|{"S360_FA__Last_Name__ (1 more) ...":"test1","S360_FA__Date_Time__ (1 more) ...":"2018-03-15T16:00:00.000Z","S360_FA__User__c":"0050a00000JQ9gKAAT","S360_FA__phone__c":"1234567895","S360_FA__User__r":{"Id":"0050a00000JQ9gKAAT","Name":"Chatter Expert"},"S360_FA__Hobby__c":"test1","Id":"a010a00000TTWuPAAX","S360_FA__First_Name_ (2 more) ...":"test1","S360_FA__email__c":"lab@gmail.com"}|0x6c177349
05:24:35.0 (4055602)|VARIABLE_SCOPE_BEGIN|[150]|relatedData|Map<String,List<ANY>>|true|false
05:24:35.0 (4065590)|VARIABLE_ASSIGNMENT|[150]|relatedData|null|
