42.0 APEX_CODE,FINEST;APEX_PROFILING,ERROR;CALLOUT,ERROR;DB,INFO;SYSTEM,FINEST;VALIDATION,ERROR;VISUALFORCE,ERROR;WAVE,INFO;WORKFLOW,ERROR
05:24:59.0 (75974)|USER_INFO|[EXTERNAL]|0050a00000JQ9gC|formbuilder@stratus360.com|Eastern Standard Time|GMT-04:00
05:24:59.0 (116159)|EXECUTION_STARTED
05:24:59.0 (120389)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
05:24:59.0 (731859)|HEAP_ALLOCATE|[72]|Bytes:3
05:24:59.0 (764265)|HEAP_ALLOCATE|[77]|Bytes:152
05:24:59.0 (777645)|HEAP_ALLOCATE|[342]|Bytes:408
05:24:59.0 (790113)|HEAP_ALLOCATE|[355]|Bytes:408
05:24:59.0 (801270)|HEAP_ALLOCATE|[467]|Bytes:48
05:24:59.0 (823991)|HEAP_ALLOCATE|[139]|Bytes:6
05:24:59.0 (840216)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
05:24:59.0 (848713)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
05:24:59.0 (1656915)|CODE_UNIT_STARTED|[EXTERNAL]|01p0a000005i8EX|S360_Signature_Ctrl.getSignature
05:24:59.0 (1739485)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
05:24:59.0 (1747270)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
05:24:59.0 (1757550)|METHOD_ENTRY|[1]|01p0a000005i8EX|S360_Signature_Ctrl.S360_Signature_Ctrl()
05:24:59.0 (1763717)|STATEMENT_EXECUTE|[1]
05:24:59.0 (1769409)|STATEMENT_EXECUTE|[1]
05:24:59.0 (1774455)|METHOD_EXIT|[1]|S360_Signature_Ctrl
05:24:59.0 (1779470)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
05:24:59.0 (1793795)|SYSTEM_MODE_ENTER|false
05:24:59.0 (1802347)|VARIABLE_SCOPE_BEGIN|[105]|parentId|String|false|false
05:24:59.0 (1826339)|VARIABLE_ASSIGNMENT|[105]|parentId|"a010a00000TTWuPAAX"
05:24:59.0 (1835467)|STATEMENT_EXECUTE|[105]
05:24:59.0 (1837315)|STATEMENT_EXECUTE|[106]
05:24:59.0 (1840707)|HEAP_ALLOCATE|[106]|Bytes:101
05:24:59.0 (1856410)|HEAP_ALLOCATE|[106]|Bytes:4
05:24:59.0 (1868013)|HEAP_ALLOCATE|[106]|Bytes:7
05:24:59.0 (1907091)|HEAP_ALLOCATE|[50]|Bytes:5
05:24:59.0 (1924412)|HEAP_ALLOCATE|[56]|Bytes:5
05:24:59.0 (1931682)|HEAP_ALLOCATE|[64]|Bytes:7
05:24:59.0 (2672418)|SOQL_EXECUTE_BEGIN|[106]|Aggregations:0|SELECT Id, ContentDocumentId, LinkedEntityId FROM ContentDocumentLink WHERE LinkedEntityId = :tmpVar1
05:24:59.0 (9420839)|SOQL_EXECUTE_END|[106]|Rows:1
05:24:59.0 (9445863)|HEAP_ALLOCATE|[106]|Bytes:8
05:24:59.0 (9460914)|HEAP_ALLOCATE|[106]|Bytes:104
05:24:59.0 (9561479)|HEAP_ALLOCATE|[106]|Bytes:8
05:24:59.0 (9581039)|VARIABLE_SCOPE_BEGIN|[106]|lcdl|List<ContentDocumentLink>|true|false
05:24:59.0 (9625341)|VARIABLE_ASSIGNMENT|[106]|lcdl|[{"Id":"06A0a000003bCCPEA2","ContentDocumentId":"0690a000002yG0IAAU","LinkedEntityId":"a010a00000TTWuPAAX"}]|0x60126f7c
05:24:59.0 (9684992)|SYSTEM_METHOD_ENTRY|[107]|List<ContentDocumentLink>.size()
05:24:59.0 (9731358)|SYSTEM_METHOD_EXIT|[107]|List<ContentDocumentLink>.size()
05:24:59.0 (9745262)|STATEMENT_EXECUTE|[107]
05:24:59.0 (9748505)|STATEMENT_EXECUTE|[108]
05:24:59.0 (9755498)|HEAP_ALLOCATE|[108]|Bytes:128
05:24:59.0 (9775584)|HEAP_ALLOCATE|[108]|Bytes:4
05:24:59.0 (9801595)|HEAP_ALLOCATE|[108]|Bytes:16
