42.0 APEX_CODE,FINEST;APEX_PROFILING,ERROR;CALLOUT,ERROR;DB,INFO;SYSTEM,FINEST;VALIDATION,ERROR;VISUALFORCE,ERROR;WAVE,INFO;WORKFLOW,ERROR
05:23:14.0 (475445)|USER_INFO|[EXTERNAL]|0050a00000JQ9gC|formbuilder@stratus360.com|Eastern Standard Time|GMT-04:00
05:23:14.0 (518749)|EXECUTION_STARTED
05:23:14.0 (525008)|CODE_UNIT_STARTED|[EXTERNAL]|0660a000003CY18|VF: /apex/s360_fa__S360_FormBuilder2
05:23:14.0 (10728486)|SYSTEM_MODE_ENTER|true
05:23:14.0 (10997531)|HEAP_ALLOCATE|[72]|Bytes:3
05:23:14.0 (11064568)|HEAP_ALLOCATE|[77]|Bytes:152
05:23:14.0 (11078917)|HEAP_ALLOCATE|[342]|Bytes:408
05:23:14.0 (11091636)|HEAP_ALLOCATE|[355]|Bytes:408
05:23:14.0 (11103053)|HEAP_ALLOCATE|[467]|Bytes:48
05:23:14.0 (11130613)|HEAP_ALLOCATE|[139]|Bytes:6
05:23:14.0 (11187823)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:92
05:23:14.0 (11218101)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:3
05:23:14.0 (11238028)|METHOD_ENTRY|[1]|01p0a000005RYwE|S360_Form_Builder_Ext.S360_Form_Builder_Ext()
05:23:14.0 (11248587)|STATEMENT_EXECUTE|[1]
05:23:14.0 (11254976)|STATEMENT_EXECUTE|[1]
05:23:14.0 (11269491)|METHOD_EXIT|[1]|S360_Form_Builder_Ext
05:23:14.0 (11312331)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
05:23:14.0 (11334638)|VARIABLE_SCOPE_BEGIN|[4]|this|S360_FA.S360_Form_Builder_Ext|true|false
05:23:14.0 (11386842)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x2947f528
05:23:14.0 (11395307)|VARIABLE_SCOPE_BEGIN|[4]|stdCtrl|ApexPages.StandardController|true|false
05:23:14.0 (11539437)|VARIABLE_ASSIGNMENT|[4]|stdCtrl|"StandardController [null]"|0x2a02d8cc
05:23:14.0 (11551630)|STATEMENT_EXECUTE|[1]
05:23:14.0 (11553483)|STATEMENT_EXECUTE|[2]
05:23:14.0 (11564394)|HEAP_ALLOCATE|[5]|Bytes:6
05:23:14.0 (11619853)|STATEMENT_EXECUTE|[4]
05:23:14.0 (11622194)|STATEMENT_EXECUTE|[5]
